Aphrocallistes_vastus_HiC-scaffold_001	axis	5325000	5375000	.
g1468	gene	5325655	5326626	-
g1469	gene	5327381	5329637	+
g1470	gene	5330726	5331544	+
g1471	gene	5331915	5338182	+
g1472	gene	5333339	5334961	-
g1473	gene	5338485	5339591	-
g1474	gene	5339988	5341220	+
g1475	gene	5341269	5344637	-
g1476	gene	5346278	5348842	+
g1477	gene	5350113	5351066	-
g1478	gene	5351396	5351824	+
g1479	gene	5353873	5354241	-
g1480	gene	5355370	5356386	+
g1481	gene	5362537	5363580	-
g1482	gene	5364180	5365397	+
g1483	gene	5367967	5368674	+
g1484	gene	5368780	5369886	+
g1485	gene	5370031	5372592	+
g1486	gene	5373631	5374275	+
