Aphrocallistes_vastus_HiC-scaffold_006	axis	3860000	3910000	True
g1060	gene	3861093	3862121	-
g1061	gene	3862452	3864385	-
g1062	gene	3865229	3865915	-
g1063	gene	3866474	3867151	-
g1064	gene	3867771	3868655	+
g1065	gene	3869087	3871725	-
g1066	gene	3873206	3882854	-
g1067	gene	3883783	3884733	-
g1068	gene	3885835	3893991	-
g1069	gene	3895719	3896519	-
g1070	gene	3897414	3898157	-
g1071	gene	3898710	3900236	-
g1072	gene	3901864	3905835	-
g1073	gene	3906394	3907359	-
g1074	gene	3907877	3909382	-
g1075	gene	3909646	3911433	-
