#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                 accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----       -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
AIG1                 PF04548.16   212 O_minuta|LOD99_1580.mRNA.1 -            538     4e-15   55.7  10.0   1   2   1.6e-14   2.4e-11   43.4   4.7     2   179    36   239    35   251 0.74 AIG1 family
AIG1                 PF04548.16   212 O_minuta|LOD99_1580.mRNA.1 -            538     4e-15   55.7  10.0   2   2   1.3e-05     0.019   14.3   0.2    64   200   299   438   278   447 0.76 AIG1 family
MMR_HSR1             PF01926.23   114 O_minuta|LOD99_1580.mRNA.1 -            538     2e-06   27.9   0.0   1   1   3.7e-09   5.5e-06   26.4   0.0     2    88    37   148    36   221 0.64 50S ribosome-binding GTPase
GTP_EFTU             PF00009.27   194 O_minuta|LOD99_1580.mRNA.1 -            538    0.0015   18.1   0.3   1   3   6.9e-06      0.01   15.4   0.0     4    82    35   113    34   119 0.66 Elongation factor Tu GTP binding domain
GTP_EFTU             PF00009.27   194 O_minuta|LOD99_1580.mRNA.1 -            538    0.0015   18.1   0.3   2   3      0.91   1.4e+03   -1.3   0.0    97   131   177   215   167   266 0.46 Elongation factor Tu GTP binding domain
GTP_EFTU             PF00009.27   194 O_minuta|LOD99_1580.mRNA.1 -            538    0.0015   18.1   0.3   3   3       2.3   3.4e+03   -2.6   0.0    51    75   315   339   299   342 0.86 Elongation factor Tu GTP binding domain
CABIT                PF12736.7    281 O_minuta|LOD99_1580.mRNA.1 -            538    0.0038   16.6   0.2   1   1   4.1e-06    0.0061   15.9   0.2   151   257   112   235    58   256 0.67 Cell-cycle sustaining, positive selection,
IL7                  PF01415.16   133 O_minuta|LOD99_1580.mRNA.1 -            538    0.0051   16.8   0.8   1   2     0.016        24    4.9   0.1    51    82   186   216   157   237 0.83 Interleukin 7/9 family
IL7                  PF01415.16   133 O_minuta|LOD99_1580.mRNA.1 -            538    0.0051   16.8   0.8   2   2   0.00067         1    9.4   0.1    28    97   407   472   372   494 0.87 Interleukin 7/9 family
Dynamin_N            PF00350.23   168 O_minuta|LOD99_1580.mRNA.1 -            538    0.0055   16.8   4.0   1   3   0.00027      0.41   10.7   0.1     3    21    39    57    37    76 0.89 Dynamin family
Dynamin_N            PF00350.23   168 O_minuta|LOD99_1580.mRNA.1 -            538    0.0055   16.8   4.0   2   3     0.011        16    5.5   0.0    98   120    98   127    68   158 0.77 Dynamin family
Dynamin_N            PF00350.23   168 O_minuta|LOD99_1580.mRNA.1 -            538    0.0055   16.8   4.0   3   3       0.6     9e+02   -0.2   0.1    54    80   195   221   164   315 0.67 Dynamin family
Septin               PF00735.18   281 O_minuta|LOD99_1580.mRNA.1 -            538     0.008   15.5   0.2   1   2   1.6e-05     0.024   13.9   0.0     2    76    32   115    31   135 0.65 Septin
Septin               PF00735.18   281 O_minuta|LOD99_1580.mRNA.1 -            538     0.008   15.5   0.2   2   2         3   4.4e+03   -3.4   0.0     7    29   418   439   417   467 0.62 Septin
FeoB_N               PF02421.18   156 O_minuta|LOD99_1580.mRNA.1 -            538     0.063   12.8   0.1   1   2   0.00024      0.36   10.3   0.0     2    27    36    61    35    65 0.91 Ferrous iron transport protein B
FeoB_N               PF02421.18   156 O_minuta|LOD99_1580.mRNA.1 -            538     0.063   12.8   0.1   2   2       3.5   5.3e+03   -3.2   0.0    46    57   100   111    93   121 0.73 Ferrous iron transport protein B
RsgA_GTPase          PF03193.16   167 O_minuta|LOD99_1580.mRNA.1 -            538     0.063   13.2   0.0   1   2   0.00022      0.32   10.9   0.0    99   150    34    84    19    91 0.81 RsgA GTPase
RsgA_GTPase          PF03193.16   167 O_minuta|LOD99_1580.mRNA.1 -            538     0.063   13.2   0.0   2   2       1.4   2.1e+03   -1.5   0.0    49    55   216   222   175   261 0.54 RsgA GTPase
CLP1_P               PF16575.5    188 O_minuta|LOD99_1580.mRNA.1 -            538     0.078   12.8   0.7   1   3     0.011        16    5.2   0.1     1    14    41    54    41    57 0.91 mRNA cleavage and polyadenylation factor CLP1 P-loop
CLP1_P               PF16575.5    188 O_minuta|LOD99_1580.mRNA.1 -            538     0.078   12.8   0.7   2   3     0.013        20    4.9   0.0    30   137   144   249   131   275 0.71 mRNA cleavage and polyadenylation factor CLP1 P-loop
CLP1_P               PF16575.5    188 O_minuta|LOD99_1580.mRNA.1 -            538     0.078   12.8   0.7   3   3       2.9   4.3e+03   -2.7   0.0   118   158   349   388   338   399 0.67 mRNA cleavage and polyadenylation factor CLP1 P-loop
AAA_18               PF13238.6    130 O_minuta|LOD99_1580.mRNA.1 -            538      0.14   12.7   0.9   1   2    0.0006       0.9   10.1   0.0     2    69    38   134    38   160 0.69 AAA domain
AAA_18               PF13238.6    130 O_minuta|LOD99_1580.mRNA.1 -            538      0.14   12.7   0.9   2   2      0.89   1.3e+03   -0.2   0.1    26    83   171   224   160   273 0.57 AAA domain
ABC_tran             PF00005.27   137 O_minuta|LOD99_1580.mRNA.1 -            538      0.17   12.4   3.5   1   2    0.0002       0.3   11.6   2.0    13    52    36    78    33   406 0.88 ABC transporter
ABC_tran             PF00005.27   137 O_minuta|LOD99_1580.mRNA.1 -            538      0.17   12.4   3.5   2   2       7.3   1.1e+04   -3.2   0.0    27    52   414   443   412   473 0.65 ABC transporter
AIG1                 PF04548.16   212 Avas.s022.g373.i1    -            464   1.4e-09   37.6   0.3   1   2   1.1e-08    0.0002   20.8   0.2    48   162    34   157    16   182 0.68 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g373.i1    -            464   1.4e-09   37.6   0.3   2   2   8.5e-07     0.015   14.6   0.0    77   199   247   368   234   382 0.76 AIG1 family
AIG1                 PF04548.16   212 Avas.s050.g9.i1      -            516   9.8e-14   51.2   5.1   1   2   1.9e-12   1.1e-08   34.7   2.9     2   161    20   206    19   225 0.67 AIG1 family
AIG1                 PF04548.16   212 Avas.s050.g9.i1      -            516   9.8e-14   51.2   5.1   2   2   1.7e-06    0.0099   15.2   0.0    77   202   297   424   280   435 0.74 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s050.g9.i1      -            516   2.4e-07   30.8   0.1   1   2   1.6e-10   9.5e-07   28.9   0.0     3    88    22   128    20   181 0.66 50S ribosome-binding GTPase
MMR_HSR1             PF01926.23   114 Avas.s050.g9.i1      -            516   2.4e-07   30.8   0.1   2   2      0.49   2.9e+03   -1.7   0.0    36    58   330   352   299   413 0.65 50S ribosome-binding GTPase
Dynamin_N            PF00350.23   168 Avas.s050.g9.i1      -            516    0.0098   16.0   5.6   1   4   3.5e-05      0.21   11.6   0.6     2    22    22    42    21    67 0.90 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s050.g9.i1      -            516    0.0098   16.0   5.6   2   4    0.0023        14    5.7   0.1    98   148    82   136    43   163 0.76 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s050.g9.i1      -            516    0.0098   16.0   5.6   3   4      0.53   3.2e+03   -2.0   0.0   124   155   149   180   140   191 0.78 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s050.g9.i1      -            516    0.0098   16.0   5.6   4   4       1.1   6.6e+03   -3.0   0.0    62    99   280   317   252   327 0.67 Dynamin family
AIG1                 PF04548.16   212 Avas.s022.g368.i1    -            523   8.9e-12   44.8   9.1   1   2   3.3e-12     2e-08   33.8   4.0     2   180    19   225    18   247 0.70 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g368.i1    -            523   8.9e-12   44.8   9.1   2   2   9.6e-06     0.057   12.7   0.2    77   195   297   415   286   431 0.67 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s022.g368.i1    -            523   3.5e-06   27.1   0.1   1   2   2.1e-09   1.2e-05   25.3   0.0     2    87    20   132    19   187 0.69 50S ribosome-binding GTPase
MMR_HSR1             PF01926.23   114 Avas.s022.g368.i1    -            523   3.5e-06   27.1   0.1   2   2      0.51   3.1e+03   -1.7   0.0    48    85   278   313   219   367 0.63 50S ribosome-binding GTPase
GTP_EFTU             PF00009.27   194 Avas.s022.g368.i1    -            523      0.11   12.0   0.4   1   2   0.00017         1    8.8   0.0     5    82    19    97    16   110 0.74 Elongation factor Tu GTP binding domain
GTP_EFTU             PF00009.27   194 Avas.s022.g368.i1    -            523      0.11   12.0   0.4   2   2     0.042   2.5e+02    1.1   0.1   125   154   156   219   139   324 0.70 Elongation factor Tu GTP binding domain
AIG1                 PF04548.16   212 Avas.s050.g10.i1     -            523   5.9e-12   45.4   9.7   1   2   1.8e-11   8.1e-08   31.8   4.4     2   180    19   225    18   248 0.68 AIG1 family
AIG1                 PF04548.16   212 Avas.s050.g10.i1     -            523   5.9e-12   45.4   9.7   2   2   1.9e-06    0.0087   15.4   0.2    75   198   295   418   286   432 0.71 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s050.g10.i1     -            523   2.8e-06   27.4   0.1   1   2     3e-09   1.3e-05   25.2   0.0     2    87    20   132    19   186 0.67 50S ribosome-binding GTPase
MMR_HSR1             PF01926.23   114 Avas.s050.g10.i1     -            523   2.8e-06   27.4   0.1   2   2      0.38   1.7e+03   -0.9   0.0    47    86   277   314   209   367 0.65 50S ribosome-binding GTPase
Chordopox_L2         PF05803.12    81 Avas.s050.g10.i1     -            523     0.028   14.2   0.0   1   1   1.6e-05     0.072   12.9   0.0     8    56   163   211   156   214 0.90 Chordopoxvirus L2 protein
GTP_EFTU             PF00009.27   194 Avas.s050.g10.i1     -            523      0.31   10.5   2.0   1   1   0.00042       1.9    8.0   2.1     5    82    19    97    16   262 0.70 Elongation factor Tu GTP binding domain
AIG1                 PF04548.16   212 Avas.s022.g383.i1    -            523   9.1e-16   57.8   2.2   1   2   9.4e-15   2.4e-11   43.4   0.3     2   180    19   224    18   247 0.68 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g383.i1    -            523   9.1e-16   57.8   2.2   2   2   1.7e-05     0.044   13.1   0.1   113   204   339   428   272   435 0.70 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s022.g383.i1    -            523   8.7e-07   29.0   0.0   1   1   7.9e-10     2e-06   27.8   0.0     2    90    20   134    19   160 0.63 50S ribosome-binding GTPase
Septin               PF00735.18   281 Avas.s022.g383.i1    -            523    0.0014   18.0   0.0   1   1   1.2e-06     0.003   16.9   0.0     2    75    15    97    14   112 0.77 Septin
