#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
DUF1768              PF08719.11   161 Avas.s009.g236.i1    -            821   6.8e-99  328.7   9.1   1   4   8.6e-29   7.7e-25   88.0   0.2     1   157    19   157    19   161 0.91 Domain of unknown function (DUF1768)
DUF1768              PF08719.11   161 Avas.s009.g236.i1    -            821   6.8e-99  328.7   9.1   2   4   3.9e-26   3.5e-22   79.4   0.0     2   160   217   355   216   356 0.88 Domain of unknown function (DUF1768)
DUF1768              PF08719.11   161 Avas.s009.g236.i1    -            821   6.8e-99  328.7   9.1   3   4   9.1e-23   8.1e-19   68.4   0.5     8   158   390   521   383   523 0.82 Domain of unknown function (DUF1768)
DUF1768              PF08719.11   161 Avas.s009.g236.i1    -            821   6.8e-99  328.7   9.1   4   4   2.4e-31   2.2e-27   96.3   0.1     1   158   560   696   560   698 0.94 Domain of unknown function (DUF1768)
Phage_30_3           PF08010.11   138 Avas.s009.g236.i1    -            821   1.5e-08   34.5   0.0   1   3     0.011        97    2.8   0.1    82   112    99   129    28   137 0.83 Bacteriophage protein GP30.3
Phage_30_3           PF08010.11   138 Avas.s009.g236.i1    -            821   1.5e-08   34.5   0.0   2   3   2.3e-07    0.0021   17.9   0.0     7    47   227   268   222   286 0.89 Bacteriophage protein GP30.3
Phage_30_3           PF08010.11   138 Avas.s009.g236.i1    -            821   1.5e-08   34.5   0.0   3   3   0.00014       1.3    8.8   0.0     7    38   571   602   566   613 0.84 Bacteriophage protein GP30.3
DUF1768              PF08719.11   161 Avas.s009.g241.i1    -            543     1e-63  214.4   2.6   1   3   6.7e-18   1.2e-13   51.6   0.0    41   161     2   111     1   111 0.85 Domain of unknown function (DUF1768)
DUF1768              PF08719.11   161 Avas.s009.g241.i1    -            543     1e-63  214.4   2.6   2   3   1.8e-27   3.2e-23   82.7   0.4     8   161   174   307   165   307 0.86 Domain of unknown function (DUF1768)
DUF1768              PF08719.11   161 Avas.s009.g241.i1    -            543     1e-63  214.4   2.6   3   3   3.2e-26   5.7e-22   78.7   0.0    12   161   358   487   338   487 0.83 Domain of unknown function (DUF1768)
DUF1768              PF08719.11   161 Avas.s009.g241.i3    -            501   1.3e-60  204.3   3.0   1   3   1.8e-21   1.1e-17   64.8   0.0     5   160    22   157    19   158 0.89 Domain of unknown function (DUF1768)
DUF1768              PF08719.11   161 Avas.s009.g241.i3    -            501   1.3e-60  204.3   3.0   2   3   6.7e-24     4e-20   72.7   0.0     5   161   184   320   181   320 0.87 Domain of unknown function (DUF1768)
DUF1768              PF08719.11   161 Avas.s009.g241.i3    -            501   1.3e-60  204.3   3.0   3   3   7.6e-22   4.6e-18   66.0   0.4     8   133   383   499   374   501 0.83 Domain of unknown function (DUF1768)
