#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Sporozoite_P67       PF05642.11   727 Avas.s001.g482.i1    -            587      0.08   11.0   7.9   1   1   1.4e-05      0.13   10.4   7.9   153   238   490   575   463   586 0.66 Sporozoite P67 surface antigen
ANATO                PF01821.18    36 Avas.s001.g482.i1    -            587      0.68   10.8   3.4   1   2     0.028   2.5e+02    2.6   0.1    24    35   152   164   141   164 0.74 Anaphylotoxin-like domain
ANATO                PF01821.18    36 Avas.s001.g482.i1    -            587      0.68   10.8   3.4   2   2   0.00056       5.1    8.1   0.6     9    29   175   195   172   198 0.84 Anaphylotoxin-like domain
Gly-zipper_YMGG      PF13441.6     46 Avas.s014.g167.i1    -            713   0.00028   20.6  18.8   1   1   1.8e-07   0.00046   19.9  18.8     3    42   671   707   670   709 0.86 YMGG-like Gly-zipper
Gly-zipper_OmpA      PF13436.6     44 Avas.s014.g167.i1    -            713    0.0072   16.1  19.0   1   1   4.5e-06     0.011   15.4  19.0     4    42   671   707   669   709 0.87 Glycine-zipper domain
Gly-zipper_Omp       PF13488.6     46 Avas.s014.g167.i1    -            713    0.0073   16.3  22.4   1   1   4.4e-06     0.011   15.7  22.4     2    35   674   705   673   709 0.94 Glycine zipper
Bacteriocin_IIc      PF10439.9     62 Avas.s014.g167.i1    -            713      0.18   11.9  17.8   1   1   0.00014      0.35   11.0  17.8    24    59   671   705   669   708 0.92 Bacteriocin class II with double-glycine leader peptide
GCD14                PF08704.10   247 Avas.s014.g167.i1    -            713       1.7    8.2   6.5   1   1    0.0021       5.4    6.6   6.5   155   220   491   560   483   582 0.67 tRNA methyltransferase complex GCD14 subunit
Rick_17kDa_Anti      PF05433.15    42 Avas.s014.g167.i1    -            713       2.8    7.9  21.4   1   1    0.0018       4.6    7.2  21.4     2    34   674   705   673   708 0.74 Glycine zipper 2TM domain
DUF1269              PF06897.12   100 Avas.s014.g167.i1    -            713       4.2    7.7  11.2   1   3       3.5   8.9e+03   -3.0   0.0    66    94    40    68    19    71 0.70 Protein of unknown function (DUF1269)
DUF1269              PF06897.12   100 Avas.s014.g167.i1    -            713       4.2    7.7  11.2   2   3         4     1e+04   -3.2   0.0    47    62   218   233   203   250 0.61 Protein of unknown function (DUF1269)
DUF1269              PF06897.12   100 Avas.s014.g167.i1    -            713       4.2    7.7  11.2   3   3    0.0067        17    5.8  10.6     2    34   676   706   675   711 0.89 Protein of unknown function (DUF1269)
ubiquitin            PF00240.23    72 Avas.s022.g424.i1    -            573   3.2e-10   39.6   0.0   1   1   4.7e-13   1.2e-09   37.8   0.0    18    70    25    82     9    84 0.91 Ubiquitin family
Rad60-SLD            PF11976.8     72 Avas.s022.g424.i1    -            573     0.041   13.7   0.2   1   2    0.0044        11    5.9   0.0    22    68    27    77    20    80 0.84 Ubiquitin-2 like Rad60 SUMO-like
Rad60-SLD            PF11976.8     72 Avas.s022.g424.i1    -            573     0.041   13.7   0.2   2   2      0.01        27    4.7   0.0    19    54   375   411   372   416 0.88 Ubiquitin-2 like Rad60 SUMO-like
Exonuc_VII_L         PF02601.15   304 Avas.s022.g424.i1    -            573      0.54    9.8  11.0   1   2     4e-05       0.1   12.2   6.8   144   238   116   223    72   304 0.60 Exonuclease VII, large subunit
Exonuc_VII_L         PF02601.15   304 Avas.s022.g424.i1    -            573      0.54    9.8  11.0   2   2      0.46   1.2e+03   -1.2   0.1   184   197   392   405   313   484 0.51 Exonuclease VII, large subunit
DUF3781              PF12636.7     72 Avas.s022.g424.i1    -            573      0.74    9.7   8.1   1   3      0.66   1.7e+03   -1.0   0.1    12    29   105   122   100   144 0.70 Protein of unknown function (DUF3781)
DUF3781              PF12636.7     72 Avas.s022.g424.i1    -            573      0.74    9.7   8.1   2   3     0.014        37    4.3   0.5     9    29   141   161   133   169 0.82 Protein of unknown function (DUF3781)
DUF3781              PF12636.7     72 Avas.s022.g424.i1    -            573      0.74    9.7   8.1   3   3   0.00074       1.9    8.4   0.4     9    52   180   226   172   234 0.80 Protein of unknown function (DUF3781)
UPF0242              PF06785.11   193 Avas.s022.g424.i1    -            573      0.78    9.8  15.1   1   1    0.0011       2.9    8.0  15.1    71   180   101   207    71   232 0.65 Uncharacterised protein family (UPF0242) N-terminus
DUF434               PF04256.12    56 Avas.s022.g424.i1    -            573       1.3    8.8  15.8   1   3     0.013        33    4.3   0.5    29    53   111   135   110   137 0.88 Protein of unknown function (DUF434)
DUF434               PF04256.12    56 Avas.s022.g424.i1    -            573       1.3    8.8  15.8   2   3   0.00049       1.2    8.8   1.5    29    54   150   175   149   176 0.93 Protein of unknown function (DUF434)
