#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NHL                  PF01436.21    28 Avas.s001.g654.i1    -            245   2.1e-05   24.3   0.1   1   1     3e-08   3.9e-05   23.5   0.1     5    28   163   185   160   185 0.91 NHL repeat
FliJ                 PF02050.16   123 Avas.s001.g654.i1    -            245    0.0038   17.4   5.3   1   2     3e-06    0.0038   17.4   5.3    19    87    42   105    33   107 0.91 Flagellar FliJ protein
FliJ                 PF02050.16   123 Avas.s001.g654.i1    -            245    0.0038   17.4   5.3   2   2       5.7   7.3e+03   -2.8   0.1    51    58   120   127   115   143 0.50 Flagellar FliJ protein
DUF5128              PF17170.4    330 Avas.s001.g654.i1    -            245    0.0095   15.1   0.0   1   1   1.5e-05      0.02   14.1   0.0    58    87   165   194   148   198 0.89 6-bladed beta-propeller
DUF87                PF01935.17   227 Avas.s001.g654.i1    -            245     0.044   13.9   4.3   1   2   3.3e-05     0.042   13.9   2.2   144   223    48   126    14   129 0.83 Helicase HerA, central domain
DUF87                PF01935.17   227 Avas.s001.g654.i1    -            245     0.044   13.9   4.3   2   2      0.84   1.1e+03   -0.5   0.0    61    82   156   188   155   205 0.75 Helicase HerA, central domain
Exonuc_VII_L         PF02601.15   304 Avas.s001.g654.i1    -            245     0.057   13.0   1.7   1   1   5.9e-05     0.075   12.6   1.7   137   235    16   122     6   149 0.63 Exonuclease VII, large subunit
Herpes_UL25          PF01499.16   554 Avas.s001.g654.i1    -            245      0.07   11.6   0.1   1   1     6e-05     0.077   11.5   0.1    34   137    23   132     8   180 0.80 Herpesvirus UL25 family
BLI1                 PF17324.2    111 Avas.s001.g654.i1    -            245     0.076   13.7   4.9   1   2   4.9e-05     0.063   14.0   2.9    33   103    17    87    10    97 0.81 BLOC-1 interactor 1
BLI1                 PF17324.2    111 Avas.s001.g654.i1    -            245     0.076   13.7   4.9   2   2       4.6   5.9e+03   -2.1   0.0    55    77   127   149   117   155 0.65 BLOC-1 interactor 1
TMPIT                PF07851.13   324 Avas.s001.g654.i1    -            245      0.13   11.5   1.8   1   1   0.00014      0.18   11.0   1.8    23    87    42   105    23   114 0.82 TMPIT-like protein
IZUMO                PF15005.6    143 Avas.s001.g654.i1    -            245       0.2   12.2   2.3   1   1   0.00025      0.32   11.5   2.3     8    70    42   102    40   142 0.88 Izumo sperm-egg fusion, Ig domain-associated
Tup_N                PF08581.10    77 Avas.s001.g654.i1    -            245      0.31   11.4  10.0   1   1   0.00049      0.63   10.4  10.0    17    75    44   102    38   104 0.79 Tup N-terminal
DUF641               PF04859.12   128 Avas.s001.g654.i1    -            245      0.92    9.8   6.6   1   1    0.0015       1.9    8.8   6.6    50   120    44   105    41   108 0.78 Plant protein of unknown function (DUF641)
TRPM_tetra           PF16519.5     56 Avas.s001.g654.i1    -            245         1    9.5  10.0   1   2   0.00052      0.67   10.1   6.0     4    55    33    88    30    88 0.93 Tetramerisation domain of TRPM
TRPM_tetra           PF16519.5     56 Avas.s001.g654.i1    -            245         1    9.5  10.0   2   2      0.59   7.6e+02    0.3   0.1    32    54   123   144   116   145 0.73 Tetramerisation domain of TRPM
ZapD                 PF07072.11   210 Avas.s001.g654.i1    -            245         2    8.1   7.2   1   2     0.002       2.6    7.7   6.4    22    88    40   104    20   110 0.72 Cell division protein
ZapD                 PF07072.11   210 Avas.s001.g654.i1    -            245         2    8.1   7.2   2   2       1.9   2.4e+03   -1.9   0.0    62    80   111   129    99   138 0.74 Cell division protein
FlxA                 PF14282.6    101 Avas.s001.g654.i1    -            245       8.6    6.4  10.9   1   1     0.015        20    5.3  10.9    27    62    41    76    29   107 0.74 FlxA-like protein
NHL                  PF01436.21    28 Avas.s001.g957.i1    -            413   8.5e-10   38.2   6.1   1   4   0.00055         2    8.6   0.0     7    27   172   193   168   194 0.83 NHL repeat
NHL                  PF01436.21    28 Avas.s001.g957.i1    -            413   8.5e-10   38.2   6.1   2   4   5.9e-05      0.21   11.7   0.1     2    25   258   282   257   283 0.85 NHL repeat
NHL                  PF01436.21    28 Avas.s001.g957.i1    -            413   8.5e-10   38.2   6.1   3   4     0.014        52    4.1   0.0     9    22   306   318   298   324 0.73 NHL repeat
NHL                  PF01436.21    28 Avas.s001.g957.i1    -            413   8.5e-10   38.2   6.1   4   4   2.6e-05     0.094   12.8   0.6     7    28   349   370   347   370 0.94 NHL repeat
DUF5128              PF17170.4    330 Avas.s001.g957.i1    -            413   3.6e-07   29.7   0.0   1   3   3.6e-09   1.3e-05   24.6   0.0    80   163   148   230   146   276 0.79 6-bladed beta-propeller
DUF5128              PF17170.4    330 Avas.s001.g957.i1    -            413   3.6e-07   29.7   0.0   2   3     0.026        95    2.0   0.0    57    82   303   328   297   335 0.88 6-bladed beta-propeller
DUF5128              PF17170.4    330 Avas.s001.g957.i1    -            413   3.6e-07   29.7   0.0   3   3       1.8   6.5e+03   -4.1   0.0    63    83   355   375   351   380 0.80 6-bladed beta-propeller
SGL                  PF08450.12   246 Avas.s001.g957.i1    -            413   4.6e-06   26.4   0.3   1   3      0.17     6e+02   -0.2   0.0   190   218   173   202   156   219 0.72 SMP-30/Gluconolactonase/LRE-like region
SGL                  PF08450.12   246 Avas.s001.g957.i1    -            413   4.6e-06   26.4   0.3   2   3     0.012        43    3.6   0.0   145   201   219   275   203   287 0.74 SMP-30/Gluconolactonase/LRE-like region
SGL                  PF08450.12   246 Avas.s001.g957.i1    -            413   4.6e-06   26.4   0.3   3   3     3e-07    0.0011   18.6   0.4   188   244   348   405   322   407 0.86 SMP-30/Gluconolactonase/LRE-like region
TolB_like            PF15869.5    295 Avas.s001.g957.i1    -            413   0.00026   20.3   0.0   1   2   3.8e-05      0.14   11.4   0.0    50    93   150   195   145   262 0.72 TolB-like 6-blade propeller-like
TolB_like            PF15869.5    295 Avas.s001.g957.i1    -            413   0.00026   20.3   0.0   2   2     0.001       3.7    6.7   0.0    72   148   303   379   256   387 0.83 TolB-like 6-blade propeller-like
